abilities,color,description,height,id,name,thumbnail,type,weight
overgrow,green,"A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.",7,1,bulbasaur,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/001.png",poison;grass,69
overgrow,green,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.",10,2,ivysaur,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/002.png",poison;grass,130
overgrow,green,"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.",20,3,venusaur,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/003.png",poison;grass,1000
blaze,red,"The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly.",6,4,charmander,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/004.png",fire,85
blaze,red,"It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.",11,5,charmeleon,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/005.png",fire,190
blaze,red,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.",17,6,charizard,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/006.png",flying;fire,905
torrent,blue,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity.",5,7,squirtle,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/007.png",water,90
torrent,blue,"When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit.",10,8,wartortle,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/008.png",water,225
torrent,blue,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",16,9,blastoise,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/009.png",water,855
shield-dust,green,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies.",3,10,caterpie,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/010.png",bug,29
shed-skin,green,"A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.",7,11,metapod,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/011.png",bug,99
compound-eyes,white,"It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.",11,12,butterfree,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/012.png",flying;bug,320
shield-dust,brown,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",3,13,weedle,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/013.png",poison;bug,32
shed-skin,yellow,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger.",6,14,kakuna,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/014.png",poison;bug,100
swarm,yellow,"It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.",10,15,beedrill,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/015.png",poison;bug,295
tangled-feet;keen-eye,brown,"A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.",3,16,pidgey,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/016.png",flying;normal,18
tangled-feet;keen-eye,brown,"The claws on its feet are well developed. It can carry prey such as an Exeggcute to its nest over 60 miles away.",11,17,pidgeotto,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/017.png",flying;normal,300
tangled-feet;keen-eye,brown,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp.",15,18,pidgeot,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/018.png",flying;normal,395
guts;run-away,purple,"Living wherever there is food available, it ceaselessly scavenges for edibles the entire day.",3,19,rattata,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/019.png",normal,35
guts;run-away,brown,"It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls.",7,20,raticate,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/020.png",normal,185
keen-eye,brown,"Very protective of its territory, it flaps its short wings busily to dart around at high speed.",3,21,spearow,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/021.png",flying;normal,20
keen-eye,brown,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",12,22,fearow,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/022.png",flying;normal,380
shed-skin;intimidate,purple,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",20,23,ekans,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/023.png",poison,69
shed-skin;intimidate,purple,"The pattern on its belly appears to be a frightening face. Weak foes will flee just at the sight of the pattern.",35,24,arbok,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/024.png",poison,650
static,yellow,"It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.",4,25,pikachu,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/025.png",electric,60
